"Caso","F. De Reclamo","Direccion","Comuna","OT","Proveedor Asignado","Estado","Observaciones","Attachments","Tipo de tarea","Equipo","Tipo de Elemento"
"-502","7/7/2025","Tagle 2562","14","808036198","Optical Power","Pendiente","Colocar columna para pedir traspaso nodo teco","1","Cambio","Nodo Teco","Pasante"
"6363","7/8/2025","MOLDES 3730","12","808099415","NEW","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"6376","7/8/2025","BOYACA 712","7","808099366","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6377","7/8/2025","GUARDIA VIEJA 4377","5","808099347","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6383","7/8/2025","FALCON, RAMON L.,CNEL. 1411","6","808099320","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-503","7/10/2025","Salguero 842","5","808148673","NEW","Pendiente","Cambiar columna picada en la base","1","Cambio","Sin equipos","Pasante"
"-504","7/10/2025","Ohiggins 1611","13","808148679","NEW","Pendiente","Columna podrida en la base","1","Cambio","Nodo Teco","Pasante"
"-505","7/11/2025","Brasil 3181","4","808150460","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-506","7/11/2025","Espinosa 591","6","808150511","Optical Power","Pendiente","Picada","1","Cambio","Nodo Teco","Pasante"
"-507","7/14/2025","Tamborini 3291","12","808194229","INCO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-508","7/14/2025","Moldes 2463","12","808194234","INCO","Pendiente","Picada","1","Cambio","Nodo Teco","Pasante"
"-509","7/14/2025","Paso 58","3","808194240","INCO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-510","7/14/2025","Larrea 590","3","808194254","INCO","Pendiente","Picada","1","Cambio","Fuente Teco","Pasante"
"6388","7/14/2025","CASTELLI 304","3","808194260","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6392","7/14/2025","MOLDES 1808","13","808194266","NEW","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-511","7/14/2025","Carlos Melo 491","4","808194932","Optical Power","Pendiente","Picada","1","Cambio","Sin equipos","Terminal"
"-512","7/15/2025","Ciudad de la Paz 3742","12","808240230","INCO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"-513","7/15/2025","Montes de Oca 1809","4","808240768","Optical Power","Pendiente","Colocar columna donde esta el monoducto para acceso a edifciio","1","Cambio","Sin equipos","Pasante"
"-514","7/15/2025","Bilbao 2452","7","808243829","INCO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6398","7/15/2025","LARRAZABAL AV. 579","9","808373655","AYKO","Pendiente","Poste inclinado","1","Aplomo","Sin equipos","Poste"
"6407","7/15/2025","TUCUMAN 3253","3","808373657","PEBCOM","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
"6410","7/15/2025","BEAUCHEF 421","6","808373658","AYKO","Pendiente","Picada","1","Cambio","Sin equipos","Pasante"
